ID; Nome_Produto; Preco_Unitario; Quantidade_Vendida; Data_Venda
1; Camiseta; 20,0; 15; 2023-01-01
2; Calça Jeans;; 10; 2023-01-02
3; Tênis; 50,0; ;2023-01-03
4; Camiseta; vinte; 5; 2023-01-04
5; ; 30,0; 7; 2023-01-05
6; Calça Jeans; 40,0; 8;
7; Camiseta; 20,0; 12; 2023-01-06
8; Calça Jeans; 35,0; 8; 2023-01-07
9; Tênis; 50,0; 10;2023-01-08
10; Camiseta; 20,0; 5; 2023-01-09
11; Calça Jeans;; 7; 2023-01-10
12; Tênis; 50,0; ;2023-01-11
13; Camiseta;; 5; 2023-01-12
14; ; 30,0; 7; 2023-01-13
15; Calça Jeans;; ;2023-01-14
16; Tênis;; ;2023-01-15
